run,run_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_cv_f1_mean,C,max_iter,solver,min_samples_split
XGBoost run 1,0c4a65782f5940ad9acf0e4c0e5ca53f,100.0,4.0,0.1,0.8,0.8,0.9238892935178441,0.9178090263858776,0.9238892935178441,0.9194548965818755,0.9550791753148733,0.9119480859068076,,,,
XGBoost run 2,c2ec999ccf784cd7b41ae7acad5c4527,200.0,6.0,0.05,0.9,0.7,0.9223112405923768,0.9172818164297556,0.9223112405923768,0.9190671839627863,0.9554084213878011,0.9119508833222596,,,,
XGBoost run 3,c459ba0833494382bc14ba280309cb37,150.0,5.0,0.08,0.85,0.85,0.9221898519058024,0.916726155054201,0.9221898519058024,0.9185538611598505,0.9557473229869334,0.9110197399497215,,,,
LogReg run 1,b398060de7fe4960935c7ca2e45265c5,,,,,,0.9155134741442098,0.9054807346835311,0.9155134741442098,0.9059065804516467,0.942146445587056,0.8997948794156402,0.1,1000.0,lbfgs,
LogReg run 2,7511a29b700c4ca18f2ec474cc21a2c6,,,,,,0.9163631949502307,0.9067208315288078,0.9163631949502307,0.9074005819529632,0.9423439784895515,0.9008853701642414,10.0,2000.0,lbfgs,
Random Forest run 1,0e459d7df1de4823b3c915d7ff9a9b33,100.0,10.0,,,,0.9121145909201263,0.9029136921653547,0.9121145909201263,0.8942865896958069,0.9442263638615028,0.8878799445921091,,,,2.0
Random Forest run 2,3794aa72b8c7453eb087acb9b162842a,200.0,15.0,,,,0.9173343044428259,0.9079992197207533,0.9173343044428259,0.9057339325991481,0.9502775779517901,0.8968117368561461,,,,5.0
